Author,Comment,Likes,Published,Comment_Length,Word_Count,Tokens
@friendsforeversrirajfriend7351,this movie bgm reminds me childhood days wow whos watching in 2023,97,2023-01-02 16:59:21+00:00,74,14,"['this', 'movie', 'bgm', 'reminds', 'me', 'childhood', 'days', 'wow', 'whos', 'watching', 'in', '2023']"
@bharathinoval9925,akkada kundi ledu,3,2023-01-01 17:58:43+00:00,19,4,"['akkada', 'kundi', 'ledu']"
@shaikarif511,brahmmanandam garu chala baga comedy chestaru,18,2022-12-26 08:46:41+00:00,54,7,"['brahmmanandam', 'garu', 'chala', 'baga', 'comedy', 'chestaru']"
@Moka138,super comedy venki,4,2022-12-24 14:45:26+00:00,18,3,"['super', 'comedy', 'venki']"
@kondagorrivikki4465,,6,2022-12-23 03:44:59+00:00,2,1,[]
@manoharasmmanoharasm7224,nice,3,2022-12-22 13:22:42+00:00,5,1,['nice']
@raghuvaran8592,pelli chesukunte mante yandukku pelli,51,2022-12-22 11:21:06+00:00,37,5,"['pelli', 'chesukunte', 'mante', 'yandukku', 'pelli']"
@sridharsSri-cd1sh,nice game,2,2022-12-22 09:05:27+00:00,9,2,"['nice', 'game']"
@uday7610,super scenes,31,2022-12-21 16:26:43+00:00,14,3,"['super', 'scenes']"
@Renato_83,మల్లీశ్వరి బెస్ట్ మూవీ వెంకీ మామ ఎన్ని సార్లు చూశానో తెలీదు కౌంట్ లెస్స మోస్ట్ హిలేరియస్ డైలాగ్ అరే మీరు ఇదే బీచ్ కి వస్తారా ఇంకెన్ని బీచ్లు ఉన్నాయి వైజాగ్ లో,36,2022-12-21 13:46:01+00:00,176,28,"['మల్లీశ్వరి', 'బెస్ట్', 'మూవీ', 'వెంకీ', 'మామ', 'ఎన్ని', 'సార్లు', 'చూశానో', 'తెలీదు', 'కౌంట్', 'లెస్స', 'మోస్ట్', 'హిలేరియస్', 'డైలాగ్', 'అరే', 'మీరు', 'ఇదే', 'బీచ్', 'కి', 'వస్తారా', 'ఇంకెన్ని', 'బీచ్లు', 'ఉన్నాయి', 'వైజాగ్', 'లో']"
@santhus1198,esw,1,2022-12-21 06:01:22+00:00,3,1,['esw']
@7_FOODIE,ayyyyyy,3,2022-12-19 15:27:21+00:00,7,1,['ayyyyyy']
@GopalKrishna-fm1pm,super,3,2022-12-19 14:42:22+00:00,5,1,['super']
@ShivaShiva-bl1th,super,4,2022-12-19 10:14:50+00:00,5,1,['super']
@ShivaShiva-bl1th,hi,2,2022-12-19 10:14:40+00:00,2,1,['hi']
